City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.76,74,40,6.91,scattered clouds
1,Tabou,CI,4.423,-7.3528,79.45,87,98,8.01,moderate rain
2,Luau,AO,-10.7073,22.2247,65.37,93,100,3.13,overcast clouds
3,Turangi,NZ,-39.0,175.9333,59.07,43,1,2.15,clear sky
4,Ushuaia,AR,-54.8,-68.3,53.26,47,40,4.61,light rain
5,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,40,8.05,scattered clouds
6,Yellowknife,CA,62.456,-114.3525,-8.45,70,75,11.5,broken clouds
7,Upernavik,GL,72.7868,-56.1549,15.3,87,25,6.98,scattered clouds
8,Bethel,US,41.3712,-73.414,50.94,29,100,13.8,overcast clouds
9,Belomorsk,RU,64.5232,34.7668,0.55,99,99,2.95,overcast clouds
10,Gimli,CA,50.6336,-96.9907,8.62,47,86,13.8,overcast clouds
11,Dingle,PH,10.9995,122.6711,72.61,91,2,8.12,clear sky
12,Huarmey,PE,-10.0681,-78.1522,77.88,70,99,9.13,overcast clouds
13,Vila Do Maio,CV,15.1333,-23.2167,75.99,75,77,10.92,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,66.61,74,20,24.16,few clouds
15,Katsuura,JP,35.1333,140.3,49.57,76,0,1.86,clear sky
16,Ancud,CL,-41.8697,-73.8203,55.58,86,100,4.07,overcast clouds
17,Ostrovnoy,RU,68.0531,39.5131,11.19,89,100,10.45,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,80.19,88,95,9.51,overcast clouds
19,San Quintin,MX,30.4833,-115.95,59.5,61,100,21.12,overcast clouds
20,Geraldton,AU,-28.7667,114.6,59.41,82,0,5.75,clear sky
21,Baltasi,RU,56.3462,50.2062,16.27,97,83,6.15,broken clouds
22,Freeport,US,40.6576,-73.5832,53.58,33,0,19.57,clear sky
23,Bilma,NE,18.6853,12.9164,83.73,10,9,5.68,clear sky
24,Roald,NO,62.5833,6.1333,31.75,93,100,6.91,shower snow
25,Atuona,PF,-9.8,-139.0333,80.15,76,11,12.68,few clouds
26,Lompoc,US,34.6391,-120.4579,58.69,65,75,11.5,broken clouds
27,Bardiyah,LY,31.7561,25.0865,58.35,65,0,4.32,clear sky
28,Touros,BR,-5.1989,-35.4608,80.26,75,100,13.89,overcast clouds
29,Leningradskiy,RU,69.3833,178.4167,-28.46,97,12,3.76,few clouds
30,Namibe,AO,-15.1961,12.1522,71.58,76,24,3.06,few clouds
31,Razole,IN,16.4833,81.8333,68.95,81,2,2.46,clear sky
32,Punta Arenas,CL,-53.15,-70.9167,53.71,47,40,28.77,scattered clouds
33,Belmonte,BR,-15.8631,-38.8828,80.55,78,5,9.69,clear sky
34,Ifanadiana,MG,-21.3,47.6333,68.07,94,100,3.74,overcast clouds
35,Lebu,CL,-37.6167,-73.65,64.18,82,70,11.23,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,80.4,78,100,22.84,light rain
37,Hermanus,ZA,-34.4187,19.2345,65.8,78,36,14.63,scattered clouds
38,Nikolskoye,RU,59.7035,30.7861,22.8,98,90,3.62,overcast clouds
39,Liberty,US,31.8335,-81.5004,86.25,52,40,1.01,scattered clouds
40,Sandwick,GB,60.0,-1.25,30.02,69,60,14.97,broken clouds
41,Kapaa,US,22.0752,-159.319,78.12,76,20,5.75,few clouds
42,Linjiang,CN,41.8069,126.9078,30.6,96,23,1.74,few clouds
43,Castro,BR,-24.7911,-50.0119,68.0,89,97,4.9,overcast clouds
44,Norman Wells,CA,65.282,-126.8329,-11.16,70,75,3.44,broken clouds
45,Qaanaaq,GL,77.484,-69.3632,15.64,90,87,6.11,overcast clouds
46,Hilo,US,19.7297,-155.09,79.29,74,0,5.99,clear sky
47,Nome,US,64.5011,-165.4064,33.17,100,100,14.97,snow
48,Mataura,NZ,-46.1927,168.8643,53.47,66,100,3.24,overcast clouds
49,Butaritari,KI,3.0707,172.7902,80.24,79,88,11.88,light rain
50,Novobirilyussy,RU,56.9514,90.6661,25.97,85,100,13.38,overcast clouds
51,Avarua,CK,-21.2078,-159.775,86.05,79,20,17.27,few clouds
52,Bredasdorp,ZA,-34.5322,20.0403,63.64,75,39,9.26,scattered clouds
53,North Battleford,CA,52.7834,-108.2847,8.4,66,0,16.11,clear sky
54,Ellisras,ZA,-23.6649,27.7443,78.46,46,70,7.18,broken clouds
55,Bluff,NZ,-46.6,168.3333,53.8,74,100,7.76,overcast clouds
56,Aksu,CN,41.1231,80.2644,46.81,42,10,4.05,clear sky
57,Aripuana,BR,-9.1667,-60.6333,78.58,91,99,1.36,overcast clouds
58,Tasiilaq,GL,65.6145,-37.6368,12.18,77,100,7.09,overcast clouds
59,Vila Velha,BR,-20.3297,-40.2925,82.35,83,20,17.27,few clouds
60,Narsaq,GL,60.9167,-46.05,48.42,84,21,3.0,few clouds
61,Berdigestyakh,RU,62.0989,126.6992,-2.61,100,100,2.33,overcast clouds
62,Jamestown,US,42.097,-79.2353,42.39,59,100,10.0,overcast clouds
63,Voyinka,UA,45.8699,33.9914,38.34,58,93,6.87,overcast clouds
64,Auki,SB,-8.7676,160.7034,79.84,85,100,7.85,overcast clouds
65,Gualaquiza,EC,-3.4,-78.55,65.23,99,100,0.29,light rain
66,Champerico,GT,14.3,-91.9167,97.34,63,5,14.54,clear sky
67,Mahebourg,MU,-20.4081,57.7,77.29,94,75,6.91,light intensity shower rain
68,Yulara,AU,-25.2406,130.9889,67.84,32,0,10.13,clear sky
69,Grand Forks,US,47.9417,-97.4337,8.78,66,0,28.77,clear sky
70,Erenhot,CN,43.6475,111.9767,40.93,30,38,16.78,scattered clouds
71,East London,ZA,-33.0153,27.9116,70.7,79,83,13.67,light rain
72,Busselton,AU,-33.65,115.3333,54.54,80,0,12.5,clear sky
73,Port Blair,IN,11.6667,92.75,77.76,76,0,5.35,clear sky
74,Kiunga,PG,-6.1219,141.2906,71.58,97,97,2.08,overcast clouds
75,Saskylakh,RU,71.9167,114.0833,-15.68,99,100,4.05,overcast clouds
76,New Norfolk,AU,-42.7826,147.0587,57.92,66,74,4.0,broken clouds
77,Jadu,LY,31.953,12.0261,59.25,21,100,10.02,overcast clouds
78,Camana,PE,-16.6228,-72.7111,77.02,72,47,5.88,scattered clouds
79,Albany,US,42.6001,-73.9662,41.41,50,91,1.99,overcast clouds
80,Verona,IT,45.4167,11.0333,48.51,75,40,2.3,scattered clouds
81,Nouakchott,MR,18.0858,-15.9785,78.73,45,100,14.63,overcast clouds
82,Saint-Francois,FR,46.4154,3.9054,38.64,65,100,2.3,overcast clouds
83,Hervey Bay,AU,-25.2986,152.8535,75.92,66,1,4.63,clear sky
84,Martapura,ID,-3.4167,114.85,75.29,100,100,4.61,overcast clouds
85,Sakakah,SA,29.9697,40.2064,72.97,33,70,16.06,broken clouds
86,Clyde River,CA,70.4692,-68.5914,14.23,92,40,2.3,scattered clouds
87,San Cristobal,VE,7.7669,-72.225,85.53,50,77,2.84,broken clouds
88,Wuda,CN,39.4994,106.7117,43.57,26,0,3.94,clear sky
89,Tarko-Sale,RU,64.9225,77.785,9.93,96,100,9.13,overcast clouds
90,Nanortalik,GL,60.1432,-45.2371,31.3,86,20,2.19,few clouds
91,Polewali,ID,-3.4324,119.3435,74.71,86,100,3.15,overcast clouds
92,Bundaberg,AU,-24.85,152.35,73.72,71,3,1.59,clear sky
93,Margherita,IN,27.2833,95.6833,61.77,84,40,2.95,scattered clouds
94,Young,UY,-32.6833,-57.6333,94.37,12,0,11.45,clear sky
95,Port Alfred,ZA,-33.5906,26.891,67.17,92,35,4.0,light rain
96,Mount Gambier,AU,-37.8333,140.7667,56.26,64,92,11.99,overcast clouds
97,Ribeira Grande,PT,38.5167,-28.7,63.77,94,75,28.99,moderate rain
98,Itacurubi Del Rosario,PY,-24.5,-56.6833,83.68,69,0,1.48,clear sky
99,Ilyich,KZ,40.8464,68.5067,58.53,44,6,14.05,clear sky
100,Mutis,CO,6.2262,-77.4044,80.49,83,82,4.81,light rain
101,Alofi,NU,-19.0595,-169.9187,82.29,83,75,13.8,light rain
102,Badarganj,BD,25.674,89.0549,69.4,25,0,4.05,clear sky
103,Sanandaj,IR,35.3144,46.9923,51.82,58,40,16.11,scattered clouds
104,Barra Do Corda,BR,-5.5,-45.25,77.41,94,22,4.81,few clouds
105,Nyurba,RU,63.2842,118.3319,-31.45,100,92,2.71,overcast clouds
106,Lavrentiya,RU,65.5833,-171.0,18.79,95,100,9.93,snow
107,Samarai,PG,-10.6167,150.6667,80.2,79,50,6.04,scattered clouds
108,Quatre Cocos,MU,-20.2078,57.7625,77.11,85,100,2.64,light rain
109,Palmer,US,42.1584,-72.3287,47.75,19,75,19.57,broken clouds
110,Port Hedland,AU,-20.3167,118.5667,80.65,65,6,6.91,clear sky
111,Tuatapere,NZ,-46.1333,167.6833,57.94,68,97,5.32,overcast clouds
112,Hobart,AU,-42.8794,147.3294,58.26,64,20,13.8,few clouds
113,Zhigansk,RU,66.7697,123.3711,-29.42,100,75,6.29,broken clouds
114,Twin Falls,US,42.3505,-114.6445,28.29,80,100,8.05,light snow
115,Ingham,US,42.6,-84.3833,38.43,86,100,6.91,moderate rain
116,Kenai,US,60.5544,-151.2583,27.09,64,0,6.91,clear sky
117,Kavaratti,IN,10.5669,72.642,81.5,66,78,3.56,broken clouds
118,Nkongsamba,CM,4.9547,9.9404,69.94,95,100,1.99,overcast clouds
119,Airai,TL,-8.9266,125.4092,58.62,90,94,1.07,overcast clouds
120,Nuristan,AF,35.3,70.8333,17.67,66,9,11.48,clear sky
121,Ust-Maya,RU,60.4167,134.5333,0.79,99,100,2.95,overcast clouds
122,Hualmay,PE,-11.0964,-77.6139,77.13,69,83,9.91,broken clouds
123,Longyearbyen,SJ,78.2186,15.6401,6.64,43,40,19.57,scattered clouds
124,Bangkalan,ID,-7.0455,112.7351,78.75,88,100,4.07,overcast clouds
125,Iqaluit,CA,63.7506,-68.5145,26.33,100,100,10.36,fog
126,Lodwar,KE,3.1191,35.5973,88.34,28,99,14.74,overcast clouds
127,Ulundi,ZA,-28.3352,31.4162,70.0,99,100,2.71,light rain
128,Nemuro,JP,43.3236,145.575,32.5,89,30,11.77,scattered clouds
129,Esperance,AU,-33.8667,121.9,58.69,63,34,6.67,scattered clouds
130,Ilabaya,PE,-17.4208,-70.5133,71.65,71,99,5.79,overcast clouds
131,Tornio,FI,65.8481,24.1466,-3.98,100,99,3.78,overcast clouds
132,Provideniya,RU,64.3833,-173.3,25.34,96,100,2.26,light snow
133,Bengkulu,ID,-3.8004,102.2655,73.58,91,73,3.78,broken clouds
134,Chenghai,CN,23.4632,116.768,49.91,87,0,2.24,clear sky
135,Golden,US,39.7555,-105.2211,48.81,35,20,13.8,few clouds
136,Kaitangata,NZ,-46.2817,169.8464,54.09,70,100,2.89,overcast clouds
137,Berlevag,NO,70.8578,29.0864,13.8,62,40,12.66,scattered clouds
138,Torbay,CA,47.6666,-52.7314,30.58,86,75,8.05,broken clouds
139,Diffa,NE,13.3154,12.6113,84.2,10,4,6.06,clear sky
140,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,89,3.0,light rain
141,Hithadhoo,MV,-0.6,73.0833,81.72,68,2,1.54,clear sky
142,Kodiak,US,57.79,-152.4072,35.11,75,0,0.0,clear sky
143,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.96,73,100,1.01,overcast clouds
144,Sandwich,US,41.6459,-88.6217,58.51,76,75,11.5,broken clouds
145,Keskin,TR,39.6731,33.6136,36.0,72,2,4.85,clear sky
146,Romitan,UZ,39.9343,64.3814,62.55,51,0,11.5,clear sky
147,Liepaja,LV,56.5419,21.0367,30.18,64,20,8.05,few clouds
148,Salta,AR,-24.7859,-65.4117,81.19,70,40,8.05,scattered clouds
149,Namatanai,PG,-3.6667,152.4333,77.36,88,100,3.33,light rain
150,Cidreira,BR,-30.1811,-50.2056,74.68,91,100,14.65,overcast clouds
151,Grindavik,IS,63.8424,-22.4338,25.27,63,0,11.5,clear sky
152,Rio Gallegos,AR,-51.6226,-69.2181,62.65,25,40,14.97,light intensity shower rain
153,San Policarpo,PH,12.1791,125.5072,77.45,83,7,10.92,clear sky
154,Angoche,MZ,-16.2325,39.9086,77.27,87,80,3.44,light rain
155,Georgetown,MY,5.4112,100.3354,80.53,73,20,8.05,few clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,75,32.21,broken clouds
157,Iquique,CL,-20.2208,-70.1431,84.24,74,32,2.26,scattered clouds
158,Alice Springs,AU,-23.7,133.8833,69.35,32,4,6.91,clear sky
159,Trinidad,BO,-14.8333,-64.9,85.98,74,75,9.22,heavy intensity rain
160,Cayenne,GF,4.9333,-52.3333,84.24,70,75,11.5,broken clouds
161,Port Hardy,CA,50.6996,-127.4199,42.98,65,40,12.66,scattered clouds
162,Baykit,RU,61.67,96.37,7.11,98,100,3.27,overcast clouds
163,Tateyama,JP,34.9833,139.8667,51.71,71,1,2.53,clear sky
164,Eirunepe,BR,-6.6603,-69.8736,77.56,96,98,2.71,moderate rain
165,Akureyri,IS,65.6835,-18.0878,22.93,63,75,4.61,broken clouds
166,Lorengau,PG,-2.0226,147.2712,78.96,83,94,5.7,overcast clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,40,16.11,scattered clouds
168,Burnie,AU,-41.0667,145.9167,55.45,82,56,18.3,broken clouds
169,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,82.26,74,89,4.88,moderate rain
170,Hobyo,SO,5.3505,48.5268,78.4,77,8,15.64,clear sky
171,Sao Filipe,CV,14.8961,-24.4956,73.22,74,77,6.55,broken clouds
172,Terre Haute,US,39.4667,-87.4139,73.06,49,0,13.8,clear sky
173,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,79,5.03,light rain
174,Yabrud,SY,33.9674,36.6574,41.41,59,4,1.99,clear sky
175,Yelizovo,RU,53.1873,158.3805,14.14,85,75,6.71,broken clouds
176,Marrakesh,MA,31.6315,-8.0083,68.07,49,0,4.61,clear sky
177,Arrifes,PT,37.7667,-25.7,59.25,94,75,18.41,broken clouds
178,Chuy,UY,-33.6971,-53.4616,74.71,69,73,11.86,broken clouds
179,Tiksi,RU,71.6872,128.8694,-9.83,98,100,4.65,overcast clouds
180,Salalah,OM,17.0151,54.0924,78.89,36,0,4.61,clear sky
181,Lukulu,ZM,-14.3707,23.242,66.25,96,97,0.92,light rain
182,Mao,ES,39.8885,4.2658,48.76,93,0,4.61,clear sky
183,Vestmannaeyjar,IS,63.4427,-20.2734,25.88,54,97,5.53,overcast clouds
184,Magistralnyy,RU,56.1725,107.4458,9.73,98,99,1.54,overcast clouds
185,Svinita,RO,44.4997,22.1061,44.15,76,100,1.97,overcast clouds
186,Barrow,US,71.2906,-156.7887,12.22,85,0,16.11,clear sky
187,Manoel Urbano,BR,-8.8389,-69.2597,81.12,91,85,3.0,overcast clouds
188,Port Elizabeth,ZA,-33.918,25.5701,66.49,92,100,9.22,overcast clouds
189,Porto Novo,BJ,6.4965,2.6036,85.82,84,100,11.16,overcast clouds
190,Sitka,US,57.0531,-135.33,31.89,27,0,4.61,clear sky
191,Maiquetia,VE,10.5962,-66.9548,89.74,70,40,5.75,scattered clouds
192,Abalak,RU,58.1286,68.5944,19.18,95,91,9.04,overcast clouds
193,Nisia Floresta,BR,-6.0911,-35.2086,83.21,73,99,10.31,overcast clouds
194,Pangnirtung,CA,66.1451,-65.7125,37.4,60,20,0.0,few clouds
195,Huhi,MX,20.7167,-89.1667,97.14,22,30,5.46,scattered clouds
196,Chokurdakh,RU,70.6333,147.9167,-46.89,100,88,2.39,overcast clouds
197,Muros,ES,42.7762,-9.0603,57.09,91,99,8.61,overcast clouds
198,Fairbanks,US,64.8378,-147.7164,25.83,71,100,3.44,overcast clouds
