City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti International Resort
1,Tabou,CI,79.45,moderate rain,4.423,-7.3528,hôtel le rochet
12,Huarmey,PE,77.88,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
13,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Residencial Jardins De Maio
18,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,Le Baril
25,Atuona,PF,80.15,few clouds,-9.8,-139.0333,Pearl Resort
28,Touros,BR,80.26,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
30,Namibe,AO,71.58,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Rikitea,PF,80.4,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
41,Kapaa,US,78.12,few clouds,22.0752,-159.319,Pono Kai Resort
46,Hilo,US,79.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
51,Avarua,CK,86.05,few clouds,-21.2078,-159.775,Paradise Inn
54,Ellisras,ZA,78.46,broken clouds,-23.6649,27.7443,GPS Hotel
59,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Prainha
67,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Grand Bel Air
73,Port Blair,IN,77.76,clear sky,11.6667,92.75,Andaman Ocean Breeze
78,Camana,PE,77.02,scattered clouds,-16.6228,-72.7111,Caja Arequipa
81,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,فندق أدرار
83,Hervey Bay,AU,75.92,clear sky,-25.2986,152.8535,Hervey Bay Hotel
84,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Q-Hotel Grand Dafam
85,Sakakah,SA,72.97,broken clouds,29.9697,40.2064,فندق النزل
87,San Cristobal,VE,85.53,broken clouds,7.7669,-72.225,Terra Sur
91,Polewali,ID,74.71,overcast clouds,-3.4324,119.3435,hotel perdana
92,Bundaberg,AU,73.72,clear sky,-24.85,152.35,Young Australian Hotel
100,Mutis,CO,80.49,light rain,6.2262,-77.4044,Hotel Pacífico Azul
104,Barra Do Corda,BR,77.41,few clouds,-5.5,-45.25,Hotel Belcho
108,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Horisun
